,0
0,3.02291397621217
1,1.3074694741436355
2,4.849781690631275
3,1.6320770881222522
4,1.126121236902595
5,2.3578671552337838
6,2.1337870150615412
7,0.5437516776629457
8,0.0050004503237154755
9,0.16826445844253393
10,0.3647068934862048
11,2.6628123292587427
12,0.9135165489999021
13,4.677724901827715
14,2.223864713548971
15,1.2096848587269122
16,0.09533254100325428
17,0.03638698154358854
18,0.13379883544979398
19,0.6759390769841344
20,0.02916250694792433
21,0.3287604134621584
22,0.050551230889298165
23,0.9528049407114777
24,0.37980976126029387
25,0.22847370054859914
26,0.0022296988948720792
27,3.7338022652213563
28,3.299368626789185
29,1.2222524358998532
30,1.6444296257565474
31,0.09323101096821326
32,0.008742515939338
33,1.0317845789203375
34,0.7147944918464904
35,0.004795194087019511
36,0.04869731971188438
37,0.020678469350150896
38,0.11770592647851974
39,0.7144809807204872
40,0.004661754394730458
41,0.13264529224506894
42,0.6217337940673211
43,0.1760462741926798
44,0.03228064754578826
45,0.026796851833627164
46,0.47710649935404614
47,0.14510262813884073
48,0.002861075708552613
49,0.0005332959915782916
50,0.00029820122733695585
51,0.0647768221332537
52,0.009001622626154839
53,0.0020547897607852495
54,31.541484767606427
55,0.08423520660469724
56,12.301673506423874
57,0.15451957930898727
58,0.02917632193017048
59,0.4012306385969751
60,0.455221386664934
61,0.0007716514116575511
62,0.17281145360237382
63,0.06803619160028593
64,0.20505659418695216
65,0.1252928844425563
66,0.5753247895350125
67,0.6747273277051211
68,0.7873601297327929
69,0.028290380056647916
70,0.0003942637218240219
71,0.09514116714253311
72,0.40308314881125523
73,0.14473140738651052
74,0.5651089909438929
75,0.3377027501364071
76,0.2108168536176364
77,1.3739577224806792
78,0.0470985194559527
79,0.09245193874269554
80,1.2153603617702198
81,0.02722428591857998
82,0.18362784443432129
83,0.2356478224492119
84,0.09482686485508077
85,0.15212468013766858
86,0.15164954850146625
87,0.03330107558596412
88,1.6916084601441412
89,1.5097863299609187
90,6.932757986390558
91,0.18939119067088192
92,0.27756904975908475
93,0.07017992506515708
94,0.06570232279402012
95,0.1878759580568531
96,0.059467445989893036
97,0.0007462013429472261
98,0.8714650462094389
99,2.1035470721016907
100,0.039364096872823086
101,0.24355731453820856
102,0.09544056594761693
103,0.8404729474035465
104,0.000981956896725283
105,0.24979446097483346
106,0.253525515540134
107,0.11809295625175442
108,1.3341273853728626
109,0.05800981154973074
110,0.606732807785109
111,0.09529663106802883
112,0.7606935437504189
113,0.03734939833613503
114,0.11261326935241499
115,0.1259336140601289
116,0.0035784480638816367
117,2.1404646506381027
118,0.7593014439352277
119,0.8774759673917493
120,0.2904770066358541
121,0.5486825316394661
122,0.25327188936178174
123,0.035051060664540494
124,0.11915934307288265
125,1.2241832932682344
126,0.07712930586893228
127,0.3416917752030091
128,0.15723671729940572
129,0.0029998241713364003
130,0.8456245835194259
